geonlp_id,entry_id,body,body_kana,suffix,suffix_kana,hypernym,ne_class,longitude,latitude
"FeyrpZ","110","北海道","ホッカイドウ","地方/","チホウ/","日本国","行政地域/地方","142.62","43.37"
"naxk82","111","道北","ドウホク","地方/","チホウ/","北海道地方","行政地域/地域","142.38","44.46"
"56wcQ5","112","道東","ドウトウ","地方/","チホウ/","北海道地方","行政地域/地域","144.25","43.51"
"N2v5y8","113","道央","ドウオウ","地方/","チホウ/","北海道地方","行政地域/地域","141.46","42.9"
"uYtYgb","114","道南","ドウナン","地方/","チホウ/","北海道地方","行政地域/地域","140.29","42.06"
"cUsQYe","120","東北","トウホク","地方/","チホウ/","日本国","行政地域/地方","140.89","39.87"
"UQrJGh","121","北東北","キタトウホク","地方/","チホウ/","東北地方","行政地域/地域","140.71","40.61"
"CMqCok","122","南東北","ミナミトウホク","地方/","チホウ/","東北地方","行政地域/地域","140.07","37.94"
"kIpv6n","130","関東","カントウ","地方/","チホウ/","日本国","行政地域/地方","139.57","36.04"
"2EonOq","131","北関東","キタカントウ","地方/","チホウ/","関東地方","行政地域/地域","139.79","36.49"
"KAngwt","132","南関東","ミナミカントウ","地方/","チホウ/","関東地方","行政地域/地域","139.44","35.47"
"swm9ew","133","関東甲信","カントウコウシン","地方/","チホウ/","日本国","行政地域/地方","139.19","36.00"
"asl1Wz","140","中部","チュウブ","地方/","チホウ/","日本国","行政地域/地方","138.03","35.92"
"SojUEC","141","北陸","ホクリク","地方/","チホウ/","中部地方","行政地域/地域","137.11","36.56"
"AkiNmF","142","東山","トウサン","地方/","チホウ/","中部地方","行政地域/地域","137.98","35.74"
"ighG4I","143","東海","トウカイ","地方/","チホウ/","中部地方","行政地域/地域","137.66","34.92"
"0cgyML","150","近畿","キンキ","地方/","チホウ/","日本国","行政地域/地方","135.9","34.81"
"I8fruO","160","中国","チュウゴク","地方/","チホウ/","日本国","行政地域/地方","133.37","34.99"
"q4ekcR","161","山陰","サンイン","地方/","チホウ/","中国地方","行政地域/地域","132.65","35.19"
"80dcUU","162","山陽","サンヨウ","地方/","チホウ/","中国地方","行政地域/地域","132.93","34.52"
"PWc5CX","170","四国","シコク","地方/","チホウ/","日本国","行政地域/地方","133.5","33.74"
"xSaYl0","180","九州","キュウシュウ","地方/","チホウ/","日本国","行政地域/地方","131","32.75"
"fO9R33","181","九州北部","キュウシュウホクブ","地方/","チホウ/","九州地方","行政地域/地域","130.87","33.43"
"XK8JL6","182","九州南部","キュウシュウナンブ","地方/","チホウ/","九州地方","行政地域/地域","130.89","32.08"
"FG7Ct9","183","九州南部・奄美","キュウシュウナンブアマミ","地方/","チホウ/","九州地方","行政地域/地域","130.89","32.08"
"nC6vbc","190","沖縄","オキナワ","地方/","チホウ/","日本国","行政地域/地方","127.97","26.59"
